movie_id,title,genres,cast,crew,keywords
687,Dead Man Walking,Drama,"Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry,R. Lee Ermey,Celia Weston,Lois Smith,Scott Wilson,Roberta Maxwell,Margo Martindale,Jack Black,Ray Aranha,Peter Sarsgaard,Barton Heyman,Steve Boles,Nesbitt Blaisdell,Larry Pine,Kevin Cooney,Clancy Brown,Michael Cullen,Missy Yager","Tim Robbins,Allan F. Nicholls,Sam Hoffman,Eva Z. Cabrera","prison,rape,socially deprived family,penalty,death penalty,despair,death row,begnadigung,therapist,self-discovery,prison cell,court case,death sentence,doomed man,sentence,lethal injection,forgiveness,charity,mercy petition,rage and hate,unsociability,right and justice,court,electric chair,cowardliness"
577,To Die For,"Fantasy,Drama,Comedy,Thriller","Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Illeana Douglas,Alison Folland,Dan Hedaya",Gus Van Sant,"adultery,winter,obsession,television,new hampshire,narcissistic personality disorder"
2054,Mr. Holland's Opus,"Music,Drama,Family","Richard Dreyfuss,Glenne Headly,Jay Thomas,Olympia Dukakis,William H. Macy,Alicia Witt,Nicholas John Renner,Joseph Anderson","Stephen Herek,Adrienne Hamalian-Mangine,Jeffrey Wetzel","composer,mentor,deaf-mute,musical,apprentice,private life,music,disabled"
4482,French Twist,"Comedy,Romance","Victoria Abril,Josiane Balasko,Alain Chabat,Ticky Holgado",Josiane Balasko,"love triangle,southern france,estate agent,menage a trois,van,woman director"
755,From Dusk Till Dawn,"Horror,Action,Thriller,Crime","George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Ernest Liu,Salma Hayek,Cheech Marin,Danny Trejo,Tom Savini,Fred Williamson,Michael Parks,Brenda Hillhouse,John Saxon,Marc Lawrence,Kelly Preston,John Hawkes","Robert Rodriguez,Douglas Aarniokoski,Brian Bettwy,Lou Ann Quast","dancing,brother brother relationship,sexual obsession,showdown,sheriff,eroticism,nudity,bank robber,vampire,holy water,siege,stripper,priest,explosion,extreme violence,bank robbery,preacher,hostage situation,crucifix,recreational vehicle,blood spurting,convenience store,female vampire,mexican american border,nightclub entertainer,boa constrictor"
880,Antonia's Line,"Drama,Comedy","Willeke van Ammelrooy,Els Dottermans,Dora van der Groen,Veerle van Overloop,Esther Vriesendorp,Arne Bang-Hansen,Thyrza Ravesteijn",Marleen Gorris,"suicide,underdog,free love,philosophy,rape,mentally disabled,loss of mother,village life,world war ii,feminism,indian summer ,family history,widow,peasant,village,mathematics,freedom,right and justice,single,homosexuality,mother daughter relationship,domestic violence,university,woman director"
8447,Angels and Insects,"Drama,Romance","Mark Rylance,Kristin Scott Thomas,Patsy Kensit,Jeremy Kemp","Philip Haas,Danuta Skarszewska","class society,rich woman - poor man,scientist,naturalist,insect"
2086,Nick of Time,"Crime,Drama,Thriller","Johnny Depp,Courtney Chase,Charles S. Dutton,Christopher Walken,Roma Maffia,Peter Strauss",John Badham,"assassination,train station,politics,los angeles"
2045,Unforgettable,"Drama,Mystery,Science Fiction,Thriller","Ray Liotta,Linda Fiorentino,Peter Coyote,Christopher McDonald",John Dahl,"wife husband relationship,experiment,police,murder,suspense,memory,forensic,gunman,animal experimentation"
688,The Bridges of Madison County,"Drama,Romance","Meryl Streep,Clint Eastwood,Annie Corley,Victor Slezak,Jim Haynie,Sarah Kathryn Schmitt",Clint Eastwood,"farewell,adultery,love at first sight,photographer,wife husband relationship,iowa,love of one's life,mother role,bridge,housewife,love letter,peasant,marriage crisis,photography,unsociability,secret love,nature documentary"
103,Taxi Driver,"Crime,Drama","Robert De Niro,Cybill Shepherd,Harvey Keitel,Jodie Foster,Peter Boyle,Leonard Harris,Albert Brooks,Diahnne Abbott,Gino Ardito,Martin Scorsese,Murray Moston,Richard Higgs,Bill Minkin,Bob Maroff,Victor Argo","Martin Scorsese,Kay Chapin,Peter R. Scoppa,Robert P. Cohen,Ralph S. Singleton","vietnam veteran,taxi,obsession,drug dealer,night shift,vigilante,alienation,misanthrope,shot to death,illegal prostitution,loner"
2074,Flirting with Disaster,"Comedy,Romance","Ben Stiller,Patricia Arquette,Téa Leoni,Mary Tyler Moore,Alan Alda,George Segal,Lily Tomlin,Josh Brolin,Richard Jenkins,Celia Weston,Glenn Fitzgerald,Beth Ostrosky","David O. Russell,Julie Oppenheimer","lsd,looking for  birth parents,half-brother,independent film"
27793,The Neverending Story III: Escape from Fantasia,Fantasy,"Jason James Richter,Melody Kay,Kevin McNulty,Tracey Ellis,Jack Black,Carole Finn,Ryan Bollman",Peter MacDonald,"flying,magic"
568,Apollo 13,Drama,"Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,Ed Harris,Kathleen Quinlan,Mary Kate Schellhardt,Emily Ann Lloyd,Miko Hughes,Max Elliott Slade,Jean Speegle Howard,Tracy Reiner,David Andrews","Ron Howard,Bruce Moriarty,Eva Z. Cabrera","moon,florida,nasa,spaceman,race against time,houston,based on true story,space,rescue,survival,disaster,explosion,astronaut,imax,saturn v rocket,courage,hypothermia,apollo program,cape kennedy,lunar mission,spacecraft accident"
414,Batman Forever,"Action,Crime,Fantasy","Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,Chris O'Donnell,Michael Gough,Pat Hingle,Drew Barrymore","Joel Schumacher,William M. Elvin","riddle,dc comics,rose,gotham city,partner,superhero,robin,broken neck,psychologist,violence,criminal,district attorney,millionaire,falling down stairs,tied up,tommy gun,beretta,knocked out,super powers,disfigurement,father figure"
1873,Beyond Rangoon,"Drama,Thriller","Patricia Arquette,Frances McDormand,U Aung Ko,Spalding Gray,Tiara Jacquelina,Ann Howard,Victor Slezak",John Boorman,"burma,rangoon,doctor"
8839,Casper,"Fantasy,Comedy,Family","Christina Ricci,Bill Pullman,Cathy Moriarty,Eric Idle,Joe Nipote,Joe Alaskey,Brad Garrett,Garette Ratliff Henson,Jessica Wesson,Amy Brenneman,Malachi Pearson,Chauncey Leopardi,Spencer Vrooman,Ben Stein,Don Novello,Fred Rogers,Terry Murphy","Brad Silberling,Annette Haywood-Carter,Ana Maria Quintana","halloween,friendship,supernatural,afterlife,friends,danger,ghost,disorder,young heroes,imaginary,supernatural ability,mischievous children"
8963,Crimson Tide,"Action,Thriller,Drama","Denzel Washington,Gene Hackman,Matt Craven,George Dzundza,Viggo Mortensen,James Gandolfini,Rocky Carroll,Jaime Gomez,Michael Milhoan","Tony Scott,P.R. Tooke","submarine,mutiny,russia,missile,nuclear missile,embassy,u.s. navy,battle for power,torpedo,military,moral dilemma,post cold war,aircraft carrier,chain of command,launch code,sonar"
26564,Crumb,Documentary,"Robert Crumb,Aline Kominsky,Charles Crumb",Terry Zwigoff,"underground,biography,art"
1572,Die Hard: With a Vengeance,"Action,Thriller","Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,Colleen Camp,Larry Bryggman,Anthony Peck,Nicholas Wyman",John McTiernan,"bomb,taxi,riddle,robbery,detective,helicopter,gold,subway,ship,fistfight,police,sequel,deception,shootout,new york city,explosion,violence,car chase,fbi agent,simon says,flashback,dump truck,aqueduct,action hero,federal reserve bank"
8973,Lord of Illusions,"Mystery,Horror,Thriller","Scott Bakula,Kevin J. O'Connor,Famke Janssen,Joel Swetow,Daniel von Bargen,Barry Del Sherman,Joseph Latimore,Sheila Tousey",Clive Barker,"fanatic,supernatural,wizardry,resurrection,sect,occultism"
1642,The Net,"Crime,Drama,Mystery,Thriller,Action","Sandra Bullock,Jeremy Northam,Dennis Miller,Wendy Gazelle,Ken Howard,Diane Baker,Ray McKinnon,Daniel Schorr,L. Scott Caldwell,Robert Gossett,Kristina Krofft,Tony Perez,Gene Kirkwood,Christopher Darga,Charles Winkler,Julia Pearlstein",Irwin Winkler,"cheating,new identity,computer virus,chase,computer,stalking"
281,Strange Days,"Crime,Drama,Science Fiction,Thriller","Ralph Fiennes,Angela Bassett,Tom Sizemore,Juliette Lewis,Vincent D'Onofrio,William Fichtner,Michael Wincott",Kathryn Bigelow,"pornography,prostitute,rape,police brutality,dream,ex-girlfriend,future,bodyguard,rapper,virtual reality,dystopia,minidisc,police,ex-cop,murder,cyberpunk,los angeles,violence,criminal,private detective,revolt,woman director"
3512,Under Siege 2: Dark Territory,"Action,Thriller","Steven Seagal,Eric Bogosian,Everett McGill,Katherine Heigl,Моррис Честнат,Peter Greene",Geoff Murphy,"terrorist,pentagon,satellite,navy seal,train"
26258,Bushwhacked,"Adventure,Action,Comedy,Crime,Family","Daniel Stern,Jon Polito,Brad Sullivan,Ann Dowd,Anthony Heald",Greg Beeman,"cave,waterfall,children,mistaken identity,boy scouts leader"
76,Before Sunrise,"Drama,Romance","Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,Karl Bruckschwaiger,Tex Rubinowitz,Erni Mangold,Dominik Castell,Haymon Maria Buttinger,Harold Waiglein,Bilge Jeschim,Kurti,Hans Weingartner",Richard Linklater,"dialogue,sunrise,talking,soulmates,walking,austria,traveller,danube,bittersweet,romantic,vienna"
2292,Clerks,Comedy,"Brian O'Halloran,Jeff Anderson,Jason Mewes,Kevin Smith,Lisa Spoonhauer,Marilyn Ghigliotti,Scott Mosier",Kevin Smith,"salesclerk,loser,aftercreditsstinger"
1909,Don Juan DeMarco,"Romance,Drama,Comedy","Johnny Depp,Marlon Brando,Faye Dunaway,Géraldine Pailhas,Bob Dishy,Rachel Ticotin",Jeremy Leven,"sex addiction,love,mental institution,patient,psychiatrist,don juan"
8984,Disclosure,"Drama,Thriller,Crime,Mystery,Romance","Michael Douglas,Demi Moore,Donald Sutherland,Dylan Baker,Jacqueline Kim,Roma Maffia",Barry Levinson,"employee,workplace,sexual harassment,intrigue"
4954,Drop Zone,"Action,Adventure,Thriller","Wesley Snipes,Gary Busey,Yancy Butler,Michael Jeter",John Badham,"terrorist,transport of prisoners,airplane,parachuting,suspense"
522,Ed Wood,"Comedy,Drama,History","Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette,Jeffrey Jones,G. D. Spradlin,Vincent D'Onofrio,Bill Murray,Mike Starr,Max Casella,Brent Hinkley,William James Myers,Juliet Landau,Clive Rosengren,Norman Alden,Leonard Termo,Ned Bellamy,Danny Dayton,Ross Manarchy,Bill Cusack,Lisa Marie,Stanley DeSantis,Biff Yeager,Joseph R. Gannascoli,Carmen Filpi,Lisa Malkiewicz,Melora Walters,Conrad Brooks,Don Amendolia,Reid Cruickshanks,Lionel Decker,Edmund L. Shaff,Gene LeBell,Bobby Slayton","Tim Burton,Mike Topoozian,Janna Stern,Gregory Kent Simmons","individual,taxi,transsexuality,fortune teller,film business,film making,film producer,vororte,film maker,boxer,film director,oddball,celebrity,morphine,movie studio,los angeles,drug addict,cult director,theremin,handgun,trick or treating,actor,transvestite"
1024,Heavenly Creatures,"Drama,Fantasy","Melanie Lynskey,Kate Winslet,Sarah Peirse,Simon O'Connor,Diana Kent,Clive Merrison,Gilbert Goldie",Peter Jackson,"mother,sex,secret,obsession,literature,nudity,fantasy,passion,love,friends,murder,independent film,lesbian,true,relationship"
628,Interview with the Vampire,"Horror,Romance","Brad Pitt,Tom Cruise,Kirsten Dunst,Antonio Banderas,Christian Slater,Stephen Rea,Thandie Newton",Neil Jordan,"paris,san francisco,vampire,plantation,pity,bite,fang vamp"
11,Star Wars,"Adventure,Action,Science Fiction","Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness,Anthony Daniels,Kenny Baker,Peter Mayhew,David Prowse,James Earl Jones,Phil Brown,Shelagh Fraser,Jack Purvis,Eddie Byrne,Denis Lawson,Garrick Hagon,Don Henderson,Leslie Schofield,Richard LeParmentier,Michael Leader,Alex McCrindle,Drewe Henley,Jack Klaff,William Hootkins,Angus MacInnes,Jeremy Sinden,Graham Ashley,David Ankrum,Mark Austin,Scott Beach,Lightning Bear,Jon Berg,Doug Beswick,Paul Blake,Janice Burchette,Ted Burnett,John Chapman,Gilda Cohen,Tim Condren,Barry Copping,Alfie Curtis,Robert Davies,Maria De Aragon,Robert A. Denham,Frazer Diamond,Peter Diamond,Warwick Diamond,Sadie Eden,Kim Falkinburg,Harry Fielder,Ted Gagliano,Salo Gardner,Steve Gawley",George Lucas,"android,galaxy,hermit,death star,lightsaber,jedi,rescue mission,empire,rebellion,planet,smuggler,the force,space opera,galactic war,stormtrooper,totalitarianism"
3036,Mary Shelley's Frankenstein,"Drama,Horror,Science Fiction,Romance","Robert De Niro,Kenneth Branagh,Tom Hulce,Helena Bonham Carter,Aidan Quinn,Ian Holm,Richard Briers,John Cleese,Robert Hardy,Cherie Lunghi",Kenneth Branagh,"human experimentation,frankenstein,remake"
8986,Milk Money,"Comedy,Romance","Melanie Griffith,Ed Harris,Michael Patrick Carter,Malcolm McDowell",Richard Benjamin,"prostitute,tree house,red-light disctrict,young people,stripper,make a match,mob boss"
1945,Nell,"Drama,Thriller","Jodie Foster,Liam Neeson,Natasha Richardson,Richard Libertini,Robin Mullins,Nick Searcy,Jeremy Davies,O'Neal Compton,Joe Inscoe,Stephanie Dawn Wood,Heather M. Bomba,Marianne E. Bomba,Sean Bridgers",Michael Apted,"loss of mother,loss of sister,twin sister,autism,lake,kaspar-hauser-syndrom,feral child,forest,north carolina,psychologist,family"
241,Natural Born Killers,"Crime,Thriller,Drama","Woody Harrelson,Juliette Lewis,Robert Downey Jr.,Tommy Lee Jones,Tom Sizemore,Rodney Dangerfield,Edie McClurg,Russell Means,Maria Pitillo,Sean Stone,Everett Quinton,Jared Harris,O-Lan Jones,Pruitt Taylor Vince,Steven Wright,Lanny Flaherty,Richard Lineback,Kirk Baltz,Ed White,Terrylene,Josh Richman,Melinda Renna,Dale Dye",Oliver Stone,"sadistic,journalist,mass murder,yellow press,trauma,daughter,satire,controversy,controversial,violence,young couple,abuse"
527,Once Were Warriors,Drama,"Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,Taungaroa Emile,Rachael Morris Jr.,Joseph Kairau,Cliff Curtis",Lee Tamahori,"individual,slum,suicide,tattoo,alcohol,rape,tradition,loss of child,indigenous,despair,violent husband,ghetto,new zealand,maori,strong woman,lack of prospects,maori tradition,funeral,approved school ,crush,independent film,teacher,youth gang,domestic violence,violence,rebellious youth,alcohol abuse,incest,unemployment"
6950,Outbreak,"Action,Drama,Science Fiction,Thriller","Dustin Hoffman,Rene Russo,Morgan Freeman,Kevin Spacey,Cuba Gooding Jr.,Donald Sutherland,Patrick Dempsey",Wolfgang Petersen,"river,general,research,army,serum,monkey,epidemic,medical research"
101,Leon: The Professional,"Thriller,Crime,Drama","Jean Reno,Natalie Portman,Gary Oldman,Danny Aiello,Peter Appel,Michael Badalucco,Ellen Greene,Elizabeth Regen,Carl J. Matusovich,Eric Challier,Willi One Blood,Don Creech,Keith A. Glascoe,Jernard Burks,Matt De Matt,Frank Senger,Stuart Rudin,Lucius Wyatt 'Cherokee',Maïwenn","Luc Besson,Sylvette Baudrot,Pascal Chaumeil","new york,corruption,assassin,police brutality,loss of family,s.w.a.t.,immigrant,hitman,training,revenge,murder,loneliness,neighbor,tragic love,cult film,neo-noir,complex relationship,complex characters"
2307,A Pyromaniac's Love Story,"Comedy,Drama,Romance","William Baldwin,John Leguizamo,Эрика Элениак,Michael Lerner",Joshua Brand,"jealousy,burning house,teenage crush,arsonist"
680,Pulp Fiction,"Thriller,Crime","John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis,Ving Rhames,Harvey Keitel,Eric Stoltz,Tim Roth,Amanda Plummer,Maria de Medeiros,Quentin Tarantino,Christopher Walken,Rosanna Arquette,Peter Greene,Duane Whitaker,Angela Jones,Phil LaMarr,Steve Buscemi,Bronagh Gallagher,Laura Lovelace,Frank Whaley,Burr Steers,Paul Calderon,Jerome Patrick Hoban,Michael Gilden,Gary Shorelle,Susan Griffiths","Quentin Tarantino,Francis R. Mahony III,Martin Kitrosser","transporter,brothel,drug dealer,boxer,massage,stolen money,crime boss,dance contest,junkyard,kamikaze,ambiguous ending,briefcase,redemption,heirloom,pulp fiction,reference to al green,theft,brutality"
110,Three Colors: Red,"Drama,Mystery,Romance","Irène Jacob,Jean-Louis Trintignant,Jean-Pierre Lorit,Frédérique Feder,Samuel Le Bihan",Krzysztof Kieślowski,"judge,isolation,mannequin,shadowing,english channel,geneva,travel,dog"
108,Three Colors: Blue,"Drama,Music,Mystery","Juliette Binoche,Benoît Régent,Florence Pernel,Charlotte Véry,Hélène Vincent",Krzysztof Kieślowski,"paris,composer,pain,loss of husband,to compose"
2636,The Specialist,"Action,Thriller","Sylvester Stallone,Sharon Stone,James Woods,Rod Steiger,Eric Roberts,Mario Ernesto Sánchez",Luis Llosa,"explosive,revenge,explosives expert"
2164,Stargate,"Action,Adventure,Science Fiction","Kurt Russell,James Spader,Jaye Davidson,Viveca Lindfors,Alexis Cruz,Mili Avital,Leon Rippy","Roland Emmerich,Kay Sweeney","space travel,teleportation,uprising,shot to death,androgyny,space western,outer space,timebomb,death of son,nuclear weapons,invented language,hieroglyph,egyptian mythology,egyptology"
278,The Shawshank Redemption,"Drama,Crime","Tim Robbins,Morgan Freeman,Bob Gunton,Clancy Brown,Mark Rolston,James Whitmore,Gil Bellows,William Sadler,Jeffrey DeMunn,Larry Brandenburg,Neil Giuntoli,Brian Libby,David Proval,Joseph Ragno,Jude Ciccolella,Paul McCrane,Renee Blaine,Scott Mann,John Horton,Gordon Greene,Alfonso Freeman","Frank Darabont,John R. Woodward,Thomas Schellenberg,Jesse V. Johnson,Sioux Richards","prison,corruption,police brutality,prison cell,delinquent,parole board,escape from prison,wrongful imprisonment,framed for murder,1940s"
193,Star Trek: Generations,"Science Fiction,Action,Adventure,Thriller","Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton,Michael Dorn,Gates McFadden,Marina Sirtis,William Shatner",David Carson,"based on tv series,death,exploding planet,mountain cabin,solar system"
95963,The Walking Dead,"Drama,War","Allen Payne,Eddie Griffin,Joe Morton",Preston A. Whitmore II,"vietnam,jungle,black american"
1587,What's Eating Gilbert Grape,"Romance,Drama","Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Darlene Cates,Mary Steenburgen,Laura Harrington,Mary Kate Schellhardt,John C. Reilly,Kevin Tighe,Crispin Glover,Robert B. Hedges,George Haynes",Lasse Hallström,"brother brother relationship,mentally disabled,iowa,widow,dysfunctional family,independent film"
2064,While You Were Sleeping,"Comedy,Drama,Romance","Sandra Bullock,Bill Pullman,Peter Gallagher,Peter Boyle,Jack Warden",Jon Turteltaub,"brother brother relationship,chicago,coma,subway,love of one's life,brother,man of one's dreams,hospital"
236,Muriel's Wedding,"Drama,Comedy,Romance","Toni Collette,Bill Hunter,Rachel Griffiths,Sophie Lee,Roz Hammond,Belinda Jarrett,Pippa Grandison",P.J. Hogan,"individual,becoming an adult,dream,return,love of one's life,overweight,province,bathing,olympic games,empowerment,boredom,daughter,friendship"
2759,"The Adventures of Priscilla, Queen of the Desert","Drama,Comedy","Terence Stamp,Hugo Weaving,Guy Pearce",Stephan Elliott,"gay,drag queen,homophobia,musical,van,australia,transgender,australian aborigine"
888,The Flintstones,"Fantasy,Comedy,Family","John Goodman,Elizabeth Perkins,Rick Moranis,Rosie O'Donnell,Kyle MacLachlan,Halle Berry,Elizabeth Taylor",Brian Levant,"manager,jealousy,bad mother-in-law,adoption,family's daily life,stone age,plan,friendship,best friend,dinosaur"
13,Forrest Gump,"Comedy,Drama,Romance","Tom Hanks,Robin Wright,Gary Sinise,Mykelti Williamson,Sally Field,Michael Conner Humphreys,Hanna Hall,Haley Joel Osment,Siobhan Fallon,Afemo Omilami,Peter Dobson,Sonny Shroyer,George Kelly,Sam Anderson,Margo Moorer,Christopher Jones,Kevin Mangan,Brett Rice,Daniel C. Striepeke,David Brisbin,Kirk Ward,Marlena Smalls,Kitty K. Green,Mark Matheisen,Al Harrington,Jed Gillin,Don Fischer,Matt Wallace,Mike Jolly,Michael Kemmerling,John Voldstad,Daniel J. Gillooly,Michael Burgess","Robert Zemeckis,Bruce Moriarty,Susan Malerstein","vietnam veteran,hippie,mentally disabled,running,based on novel,vietnam,vietnam war,friendship,love,family relationships,bully,mother son relationship,military,hugging,shrimping,wounded soldier,flashback,park bench,amputee"
1689,Little Buddha,"Drama,History","Keanu Reeves,Bridget Fonda,Chris Isaak,Ruocheng Ying,Alex Wiesendanger,Raju Lal",Bernardo Bertolucci,"buddhist,tibet,reincarnation,buddha,siddhartha,independent film"
854,The Mask,"Romance,Comedy,Crime,Fantasy","Jim Carrey,Cameron Diaz,Nancy Fish,Tim Bagley,Johnny Williams,Peter Riegert,Peter Greene,Amy Yasbeck",Chuck Russell,"dual identity,bank,mockery,green,balloon,jail cell,norse mythology"
2788,Reality Bites,Drama,"Winona Ryder,Ben Stiller,Janeane Garofalo,Steve Zahn,Ethan Hawke,Swoosie Kurtz,Joe Don Baker,John Mahoney",Ben Stiller,"roommate,yuppie,generations confilct,camcorder,cohabitant,cabriolet,fictional tv show,unemployed"
8987,The River Wild,"Action,Adventure,Crime,Thriller","Meryl Streep,David Strathairn,Kevin Bacon,Benjamin Bratt,John C. Reilly",Curtis Hanson,"river,robber,boston,bank robber,marriage crisis,hostage-taking,rafting,criminal,white water rafting"
8831,Timecop,"Thriller,Science Fiction,Action,Crime","Jean-Claude Van Damme,Mia Sara,Ron Silver,Bruce McGill,Gloria Reuben,Scott Bellis,Jason Schombing","Peter Hyams,Christine Wilson","martial arts,time travel,science fiction,alternative reality"
315,"Faster, Pussycat! Kill! Kill!","Action,Crime","Tura Satana,Haji,Lori Williams,Sue Bernard,Stuart Lancaster",Russ Meyer,"killing,sports car,go-go dancer,eroticism,kidnapping,independent film,b movie,exploitation film"
8011,Highlander: The Final Dimension,"Action,Fantasy,Science Fiction","Christopher Lambert,Mario Van Peebles,Deborah Kara Unger,Mako",Andrew Morahan,"japan,new york,scotland,morocco,good and bad"
2654,In the Mouth of Madness,"Horror,Mystery,Thriller","Sam Neill,Julie Carmen,Jürgen Prochnow,David Warner,Peter Jason,Charlton Heston",John Carpenter,"small town,paranoia,new hampshire,insanity,suspense,h.p. lovecraft,diner,author,disappearance,church,violence,gothic,crucifix,new england,insurance investigator,ghost town,publisher,horror novel"
2758,Addams Family Values,"Comedy,Family,Fantasy","Raúl Juliá,Anjelica Huston,Christopher Lloyd,Christina Ricci,Joan Cusack,Carel Struycken,Harriet Sansom Harris,Julie Halston,Carol Kane,Barry Sonnenfeld,Jimmy Workman",Barry Sonnenfeld,"jealousy,baby,brother sister relationship,butler,yuppie,nanny,summer camp,guillotine,uncle"
